d,x,y,,,,,,,,,,,,,,,,,,
10017,2.35,0.17,,,,,,,,,,,,,,,,,,
10018,2.34,0.17,,,,,,,,,,,,,,,,,,
10019,2.35,0.16,,,,,,,,,,,,,,,,,,
10020,2.34,0.18,,,,,,,,,,,,,,,,,,
10021,2.36,0.17,,,,,,,,,,,,,,,,,,
10022,2.35,0.16,,,,,,,,,,,,,,,,,,
10023,2.35,0.17,,,,,,,,,,,,,,,,,,
10024,2.35,0.17,,,,,,,,,,,,,,,,,,
10025,2.36,0.17,,,,,,,,,,,,,,,,,,
10026,2.34,0.18,,,,,,,,,,,,,,,,,,
10027,2.33,0.18,,,,,,,,,,,,,,,,,,
10028,2.32,0.18,,,,,,,,,,,,,,,,,,
10029,2.34,0.17,,,,,,,,,,,,,,,,,,
10030,2.34,0.17,,,,,,,,,,,,,,,,,,
10031,2.34,0.17,,,,,,,,,,,,,,,,,,
10032,2.33,0.18,,,,,,,,,,,,,,,,,,
10033,2.34,0.17,,,,,,,,,,,,,,,,,,
10034,2.35,0.17,,,,,,,,,,,,,,,,,,
10035,2.38,0.17,,,,,,,,,,,,,,,,,,
10036,2.39,0.15,,,,,,,,,,,,,,,,,,
10037,2.38,0.16,,,,,,,,,,,,,,,,,,
10038,2.36,0.17,,,,,,,,,,,,,,,,,,
10039,2.38,0.15,,,,,,,,,,,,,,,,,,
10040,2.38,0.17,,,,,,,,,,,,,,,,,,
10041,2.36,0.18,,,,,,,,,,,,,,,,,,
10042,2.39,0.16,,,,,,,,,,,,,,,,,,
10043,2.4,0.15,,,,,,,,,,,,,,,,,,
10044,2.39,0.16,,,,,,,,,,,,,,,,,,
10045,2.34,0.17,,,,,,,,,,,,,,,,,,
10046,2.36,0.16,,,,,,,,,,,,,,,,,,
10047,2.4,0.15,,,,,,,,,,,,,,,,,,
10048,2.4,0.15,,,,,,,,,,,,,,,,,,
10049,2.41,0.15,,,,,,,,,,,,,,,,,,
10050,2.42,0.15,,,,,,,,,,,,,,,,,,
10051,2.39,0.16,,,,,,,,,,,,,,,,,,
10052,2.37,0.16,,,,,,,,,,,,,,,,,,
10053,2.37,0.17,,,,,,,,,,,,,,,,,,
10054,2.34,0.19,,,,,,,,,,,,,,,,,,
10055,2.34,0.19,,,,,,,,,,,,,,,,,,
10056,2.37,0.17,,,,,,,,,,,,,,,,,,
10057,2.4,0.15,,,,,,,,,,,,,,,,,,
10058,2.47,0.12,,,,,,,,,,,,,,,,,,
10059,2.39,0.15,,,,,,,,,,,,,,,,,,
10060,2.35,0.16,,,,,,,,,,,,,,,,,,
10061,2.33,0.18,,,,,,,,,,,,,,,,,,
10062,2.37,0.15,,,,,,,,,,,,,,,,,,
10063,2.38,0.14,,,,,,,,,,,,,,,,,,
10064,2.37,0.12,,,,,,,,,,,,,,,,,,
10065,2.4,0.07,,,,,,,,,,,,,,,,,,
